Occupation,Total,Race,Percentage
Massage therapists,151,Hispanic/Latino,11
Dental assistants,288,Women,93.7
Dental assistants,288,White,85.8
Dental assistants,288,Black/African American,5.5
Dental assistants,288,Asian,4.3
Dental assistants,288,Hispanic/Latino,31.7
Medical assistants,561,Women,90.2
Medical assistants,561,White,72.9
Medical assistants,561,Black/African American,17.4
Medical assistants,561,Asian,4
Medical assistants,561,Hispanic/Latino,27.9
Medical transcriptionists,46,Women,NA
Medical transcriptionists,46,White,NA
Medical transcriptionists,46,Black/African American,NA
Medical transcriptionists,46,Asian,NA
Medical transcriptionists,46,Hispanic/Latino,NA
Pharmacy aides,48,Women,NA
Pharmacy aides,48,White,NA
Pharmacy aides,48,Black/African American,NA
Pharmacy aides,48,Asian,NA
Pharmacy aides,48,Hispanic/Latino,NA
Veterinary assistants and laboratory animal caretakers,60,Women,75.8
Veterinary assistants and laboratory animal caretakers,60,White,80.3
Veterinary assistants and laboratory animal caretakers,60,Black/African American,2.6
Veterinary assistants and laboratory animal caretakers,60,Asian,1.8
Veterinary assistants and laboratory animal caretakers,60,Hispanic/Latino,26.7
Phlebotomists,101,Women,84.8
Phlebotomists,101,White,66
Phlebotomists,101,Black/African American,27.6
Phlebotomists,101,Asian,2.8
Phlebotomists,101,Hispanic/Latino,19
Other healthcare support workers,147,Women,61.1
Other healthcare support workers,147,White,65.5
Other healthcare support workers,147,Black/African American,23.6
Other healthcare support workers,147,Asian,7.1
Other healthcare support workers,147,Hispanic/Latino,23.6
Protective service occupations,3024,Women,23.6
Protective service occupations,3024,White,74.5
Protective service occupations,3024,Black/African American,19.4
Protective service occupations,3024,Asian,2.5
Protective service occupations,3024,Hispanic/Latino,15.9
First-line supervisors of correctional officers,51,Women,27.7
First-line supervisors of correctional officers,51,White,63.6
First-line supervisors of correctional officers,51,Black/African American,30.6
First-line supervisors of correctional officers,51,Asian,2
First-line supervisors of correctional officers,51,Hispanic/Latino,11.1
First-line supervisors of police and detectives,100,Women,12.7
First-line supervisors of police and detectives,100,White,89.2
First-line supervisors of police and detectives,100,Black/African American,7.5
First-line supervisors of police and detectives,100,Asian,2.3
First-line supervisors of police and detectives,100,Hispanic/Latino,14
First-line supervisors of firefighting and prevention workers,33,Women,NA
First-line supervisors of firefighting and prevention workers,33,White,NA
First-line supervisors of firefighting and prevention workers,33,Black/African American,NA
First-line supervisors of firefighting and prevention workers,33,Asian,NA
First-line supervisors of firefighting and prevention workers,33,Hispanic/Latino,NA
First-line supervisors of security workers,68,Women,32.1
First-line supervisors of security workers,68,White,70.5
First-line supervisors of security workers,68,Black/African American,20.9
First-line supervisors of security workers,68,Asian,3.9
First-line supervisors of security workers,68,Hispanic/Latino,11.6
"First-line supervisors of protective service workers, all other",7,Women,NA
"First-line supervisors of protective service workers, all other",7,White,NA
"First-line supervisors of protective service workers, all other",7,Black/African American,NA
"First-line supervisors of protective service workers, all other",7,Asian,NA
"First-line supervisors of protective service workers, all other",7,Hispanic/Latino,NA
Firefighters,335,Women,4.4
Firefighters,335,White,85
Firefighters,335,Black/African American,8.4
Firefighters,335,Asian,1.2
Firefighters,335,Hispanic/Latino,13.1
Fire inspectors,27,Women,NA
Fire inspectors,27,White,NA
Fire inspectors,27,Black/African American,NA
Fire inspectors,27,Asian,NA
Fire inspectors,27,Hispanic/Latino,NA
Bailiffs,18,Women,NA
Bailiffs,18,White,NA
Bailiffs,18,Black/African American,NA
Bailiffs,18,Asian,NA
Bailiffs,18,Hispanic/Latino,NA
Correctional officers and jailers,346,Women,31.7
Correctional officers and jailers,346,White,60.9
Correctional officers and jailers,346,Black/African American,32.9
Correctional officers and jailers,346,Asian,2.7
Correctional officers and jailers,346,Hispanic/Latino,12.8
Detectives and criminal investigators,159,Women,26.4
Detectives and criminal investigators,159,White,82.8
Detectives and criminal investigators,159,Black/African American,13.9
Detectives and criminal investigators,159,Asian,0.7
Detectives and criminal investigators,159,Hispanic/Latino,17
Fish and game wardens,4,Women,NA
Fish and game wardens,4,White,NA
Fish and game wardens,4,Black/African American,NA
Fish and game wardens,4,Asian,NA
Fish and game wardens,4,Hispanic/Latino,NA
Parking enforcement workers,12,Women,NA
Parking enforcement workers,12,White,NA
Parking enforcement workers,12,Black/African American,NA
Parking enforcement workers,12,Asian,NA
Parking enforcement workers,12,Hispanic/Latino,NA
Police officers,758,Women,17.1
Police officers,758,White,85
Police officers,758,Black/African American,10.9
Police officers,758,Asian,1.9
Police officers,758,Hispanic/Latino,14.7
Animal control workers,8,Women,NA
Animal control workers,8,White,NA
Animal control workers,8,Black/African American,NA
Animal control workers,8,Asian,NA
Animal control workers,8,Hispanic/Latino,NA
Private detectives and investigators,90,Women,45.4
Private detectives and investigators,90,White,71.6
Private detectives and investigators,90,Black/African American,21.9
Private detectives and investigators,90,Asian,3.8
Private detectives and investigators,90,Hispanic/Latino,16.2
Security guards and gambling surveillance officers,800,Women,25
Security guards and gambling surveillance officers,800,White,61
Security guards and gambling surveillance officers,800,Black/African American,31.1
Security guards and gambling surveillance officers,800,Asian,3.9
Security guards and gambling surveillance officers,800,Hispanic/Latino,19.6
Crossing guards and flaggers,46,Women,NA
Crossing guards and flaggers,46,White,NA
Crossing guards and flaggers,46,Black/African American,NA
Crossing guards and flaggers,46,Asian,NA
Crossing guards and flaggers,46,Hispanic/Latino,NA
Transportation security screeners,42,Women,NA
Transportation security screeners,42,White,NA
Transportation security screeners,42,Black/African American,NA
Transportation security screeners,42,Asian,NA
Transportation security screeners,42,Hispanic/Latino,NA
School bus monitors,17,Women,NA
School bus monitors,17,White,NA
School bus monitors,17,Black/African American,NA
School bus monitors,17,Asian,NA
School bus monitors,17,Hispanic/Latino,NA
Other protective service workers,102,Women,47.8
Other protective service workers,102,White,85.7
Other protective service workers,102,Black/African American,2.9
Other protective service workers,102,Asian,2.3
Other protective service workers,102,Hispanic/Latino,16.6
Food preparation and serving related occupations,6556,Women,54.4
Food preparation and serving related occupations,6556,White,74.8
Food preparation and serving related occupations,6556,Black/African American,13.9
Food preparation and serving related occupations,6556,Asian,6.4
Food preparation and serving related occupations,6556,Hispanic/Latino,27.3
Chefs and head cooks,383,Women,18
Chefs and head cooks,383,White,65.2
Chefs and head cooks,383,Black/African American,14.7
Chefs and head cooks,383,Asian,16.7
Chefs and head cooks,383,Hispanic/Latino,24.4
First-line supervisors of food preparation and serving workers,466,Women,59.4
First-line supervisors of food preparation and serving workers,466,White,76.2
First-line supervisors of food preparation and serving workers,466,Black/African American,16.4
First-line supervisors of food preparation and serving workers,466,Asian,3.7
First-line supervisors of food preparation and serving workers,466,Hispanic/Latino,22.6
Cooks,1763,Women,42.1
Cooks,1763,White,74.3
Cooks,1763,Black/African American,16
Cooks,1763,Asian,5.4
Cooks,1763,Hispanic/Latino,36
Food preparation workers,808,Women,58.1
Food preparation workers,808,White,74.5
Food preparation workers,808,Black/African American,13.6
Food preparation workers,808,Asian,6.8
Food preparation workers,808,Hispanic/Latino,29.2
Bartenders,301,Women,48.9
Bartenders,301,White,87.3
Bartenders,301,Black/African American,5.2
Bartenders,301,Asian,2.1
Bartenders,301,Hispanic/Latino,16.7
Fast food and counter workers,655,Women,67
Fast food and counter workers,655,White,72.2
Fast food and counter workers,655,Black/African American,16.6
Fast food and counter workers,655,Asian,5
Fast food and counter workers,655,Hispanic/Latino,22.6
Waiters and waitresses,1388,Women,70
Waiters and waitresses,1388,White,75.8
Waiters and waitresses,1388,Black/African American,11.3
Waiters and waitresses,1388,Asian,7.2
Waiters and waitresses,1388,Hispanic/Latino,22.1
"Food servers, nonrestaurant",157,Women,77.1
"Food servers, nonrestaurant",157,White,68.6
"Food servers, nonrestaurant",157,Black/African American,18.8
"Food servers, nonrestaurant",157,Asian,7.7
"Food servers, nonrestaurant",157,Hispanic/Latino,22
Dining room and cafeteria attendants and bartender helpers,231,Women,49.7
Dining room and cafeteria attendants and bartender helpers,231,White,73.1
Dining room and cafeteria attendants and bartender helpers,231,Black/African American,15.3
Dining room and cafeteria attendants and bartender helpers,231,Asian,8.2
Dining room and cafeteria attendants and bartender helpers,231,Hispanic/Latino,27.3
Dishwashers,184,Women,19.2
Dishwashers,184,White,77.2
Dishwashers,184,Black/African American,12.7
Dishwashers,184,Asian,4.4
Dishwashers,184,Hispanic/Latino,37.6
"Hosts and hostesses, restaurant, lounge, and coffee shop",218,Women,81.9
"Hosts and hostesses, restaurant, lounge, and coffee shop",218,White,81.3
"Hosts and hostesses, restaurant, lounge, and coffee shop",218,Black/African American,9.4
"Hosts and hostesses, restaurant, lounge, and coffee shop",218,Asian,3.5
"Hosts and hostesses, restaurant, lounge, and coffee shop",218,Hispanic/Latino,21.7
"Food preparation and serving related workers, all other",3,Women,NA
"Food preparation and serving related workers, all other",3,White,NA
"Food preparation and serving related workers, all other",3,Black/African American,NA
"Food preparation and serving related workers, all other",3,Asian,NA
"Food preparation and serving related workers, all other",3,Hispanic/Latino,NA
Building and grounds cleaning and maintenance occupations,5084,Women,40.3
Building and grounds cleaning and maintenance occupations,5084,White,78.2
Building and grounds cleaning and maintenance occupations,5084,Black/African American,14.2
Building and grounds cleaning and maintenance occupations,5084,Asian,3.1
Building and grounds cleaning and maintenance occupations,5084,Hispanic/Latino,37.9
First-line supervisors of housekeeping and janitorial workers,321,Women,42.5
First-line supervisors of housekeeping and janitorial workers,321,White,79.6
First-line supervisors of housekeeping and janitorial workers,321,Black/African American,13.4
First-line supervisors of housekeeping and janitorial workers,321,Asian,3.2
First-line supervisors of housekeeping and janitorial workers,321,Hispanic/Latino,30.9
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",253,Women,6
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",253,White,84.9
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",253,Black/African American,7.8
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",253,Asian,3.2
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",253,Hispanic/Latino,25.1
Janitors and building cleaners,2043,Women,38.6
Janitors and building cleaners,2043,White,74.7
Janitors and building cleaners,2043,Black/African American,17
Janitors and building cleaners,2043,Asian,3.9
Janitors and building cleaners,2043,Hispanic/Latino,33.6
Maids and housekeeping cleaners,1163,Women,88.3
Maids and housekeeping cleaners,1163,White,73.7
Maids and housekeeping cleaners,1163,Black/African American,17.3
Maids and housekeeping cleaners,1163,Asian,4.1
Maids and housekeeping cleaners,1163,Hispanic/Latino,46.1
Pest control workers,112,Women,2.5
Pest control workers,112,White,85.3
Pest control workers,112,Black/African American,6.2
Pest control workers,112,Asian,0.5
Pest control workers,112,Hispanic/Latino,30.9
Landscaping and groundskeeping workers,1066,Women,6.5
Landscaping and groundskeeping workers,1066,White,85.6
Landscaping and groundskeeping workers,1066,Black/African American,9
Landscaping and groundskeeping workers,1066,Asian,1
Landscaping and groundskeeping workers,1066,Hispanic/Latino,44.5
Tree trimmers and pruners,109,Women,7
Tree trimmers and pruners,109,White,88
Tree trimmers and pruners,109,Black/African American,7.7
Tree trimmers and pruners,109,Asian,0.1
Tree trimmers and pruners,109,Hispanic/Latino,21.6
Other grounds maintenance workers,17,Women,NA
Other grounds maintenance workers,17,White,NA
Other grounds maintenance workers,17,Black/African American,NA
Other grounds maintenance workers,17,Asian,NA
Other grounds maintenance workers,17,Hispanic/Latino,NA
Personal care and service occupations,3399,Women,77
Personal care and service occupations,3399,White,72.8
Personal care and service occupations,3399,Black/African American,13.2
Personal care and service occupations,3399,Asian,10.1
Personal care and service occupations,3399,Hispanic/Latino,16.1
Supervisors of personal care and service workers,237,Women,71.7
Supervisors of personal care and service workers,237,White,68.7
Supervisors of personal care and service workers,237,Black/African American,10.3
Supervisors of personal care and service workers,237,Asian,16.2
Supervisors of personal care and service workers,237,Hispanic/Latino,13.9
Animal trainers,72,Women,52.6
Animal trainers,72,White,88.5
Animal trainers,72,Black/African American,7.5
Animal trainers,72,Asian,0
Animal trainers,72,Hispanic/Latino,12.7
Animal caretakers,272,Women,76.5
Animal caretakers,272,White,90
Animal caretakers,272,Black/African American,4.7
Animal caretakers,272,Asian,1.7
Animal caretakers,272,Hispanic/Latino,13.9
Gambling services workers,64,Women,50.6
Gambling services workers,64,White,49.2
Gambling services workers,64,Black/African American,14.5
Gambling services workers,64,Asian,25.3
Gambling services workers,64,Hispanic/Latino,15.5
"Ushers, lobby attendants, and ticket takers",22,Women,NA
"Ushers, lobby attendants, and ticket takers",22,White,NA
"Ushers, lobby attendants, and ticket takers",22,Black/African American,NA
"Ushers, lobby attendants, and ticket takers",22,Asian,NA
"Ushers, lobby attendants, and ticket takers",22,Hispanic/Latino,NA
Other entertainment attendants and related workers,144,Women,37.1
Other entertainment attendants and related workers,144,White,78.8
Other entertainment attendants and related workers,144,Black/African American,10
Other entertainment attendants and related workers,144,Asian,6.2
Other entertainment attendants and related workers,144,Hispanic/Latino,12.6
"Embalmers, crematory operators, and funeral attendants",14,Women,NA
"Embalmers, crematory operators, and funeral attendants",14,White,NA
"Embalmers, crematory operators, and funeral attendants",14,Black/African American,NA
"Embalmers, crematory operators, and funeral attendants",14,Asian,NA
"Embalmers, crematory operators, and funeral attendants",14,Hispanic/Latino,NA
"Morticians, undertakers, and funeral arrangers",19,Women,NA
"Morticians, undertakers, and funeral arrangers",19,White,NA
"Morticians, undertakers, and funeral arrangers",19,Black/African American,NA
"Morticians, undertakers, and funeral arrangers",19,Asian,NA
"Morticians, undertakers, and funeral arrangers",19,Hispanic/Latino,NA
Barbers,102,Women,25.6
Barbers,102,White,64.9
Barbers,102,Black/African American,28.2
Barbers,102,Asian,4.1
Barbers,102,Hispanic/Latino,31.2
"Hairdressers, hairstylists, and cosmetologists",646,Women,90.8
"Hairdressers, hairstylists, and cosmetologists",646,White,77.5
"Hairdressers, hairstylists, and cosmetologists",646,Black/African American,14.4
"Hairdressers, hairstylists, and cosmetologists",646,Asian,5.1
"Hairdressers, hairstylists, and cosmetologists",646,Hispanic/Latino,14.6
Manicurists and pedicurists,214,Women,79.3
Manicurists and pedicurists,214,White,14.2
Manicurists and pedicurists,214,Black/African American,6.9
Manicurists and pedicurists,214,Asian,76.7
Manicurists and pedicurists,214,Hispanic/Latino,7.3
Skincare specialists,72,Women,93.9
Skincare specialists,72,White,72.9
Skincare specialists,72,Black/African American,4.7
Skincare specialists,72,Asian,15.9
Skincare specialists,72,Hispanic/Latino,22.2
Other personal appearance workers,19,Women,NA
Other personal appearance workers,19,White,NA
Other personal appearance workers,19,Black/African American,NA
Other personal appearance workers,19,Asian,NA
Other personal appearance workers,19,Hispanic/Latino,NA
"Baggage porters, bellhops, and concierges",60,Women,32.5
"Baggage porters, bellhops, and concierges",60,White,61.1
"Baggage porters, bellhops, and concierges",60,Black/African American,24.6
"Baggage porters, bellhops, and concierges",60,Asian,8.6
"Baggage porters, bellhops, and concierges",60,Hispanic/Latino,33.7
Tour and travel guides,47,Women,NA
Tour and travel guides,47,White,NA
Tour and travel guides,47,Black/African American,NA
Tour and travel guides,47,Asian,NA
Tour and travel guides,47,Hispanic/Latino,NA
Childcare workers,928,Women,94.8
Childcare workers,928,White,76.6
Childcare workers,928,Black/African American,16.1
Childcare workers,928,Asian,3.8
Childcare workers,928,Hispanic/Latino,21.6
Exercise trainers and group fitness instructors,202,Women,67.1
Exercise trainers and group fitness instructors,202,White,83
Exercise trainers and group fitness instructors,202,Black/African American,11.9
Exercise trainers and group fitness instructors,202,Asian,2.1
Exercise trainers and group fitness instructors,202,Hispanic/Latino,10.1
Recreation workers,131,Women,63.8
Recreation workers,131,White,79.8
Recreation workers,131,Black/African American,12.6
Recreation workers,131,Asian,2.4
Recreation workers,131,Hispanic/Latino,10.4
Residential advisors,33,Women,NA
Residential advisors,33,White,NA
Residential advisors,33,Black/African American,NA
Residential advisors,33,Asian,NA
Residential advisors,33,Hispanic/Latino,NA
"Personal care and service workers, all other",102,Women,71.9
"Personal care and service workers, all other",102,White,71.6
"Personal care and service workers, all other",102,Black/African American,15.8
"Personal care and service workers, all other",102,Asian,6.9
"Personal care and service workers, all other",102,Hispanic/Latino,10.4
Sales and office occupations,29726,Women,61.3
Sales and office occupations,29726,White,78.7
Sales and office occupations,29726,Black/African American,12.5
Sales and office occupations,29726,Asian,5.1
Sales and office occupations,29726,Hispanic/Latino,17.3
Sales and related occupations,14168,Women,48.7
Sales and related occupations,14168,White,80.2
Sales and related occupations,14168,Black/African American,10.6
Sales and related occupations,14168,Asian,5.5
Sales and related occupations,14168,Hispanic/Latino,17.1
First-line supervisors of retail sales workers,3067,Women,44.7
First-line supervisors of retail sales workers,3067,White,80.3
First-line supervisors of retail sales workers,3067,Black/African American,9.4
First-line supervisors of retail sales workers,3067,Asian,6.3
First-line supervisors of retail sales workers,3067,Hispanic/Latino,15.3
First-line supervisors of non-retail sales workers,1176,Women,31.7
First-line supervisors of non-retail sales workers,1176,White,84.7
First-line supervisors of non-retail sales workers,1176,Black/African American,6.7
First-line supervisors of non-retail sales workers,1176,Asian,6.8
First-line supervisors of non-retail sales workers,1176,Hispanic/Latino,14.2
Cashiers,2552,Women,73.1
Cashiers,2552,White,71.1
Cashiers,2552,Black/African American,17.1
Cashiers,2552,Asian,6.3
Cashiers,2552,Hispanic/Latino,25.5
Counter and rental clerks,69,Women,35.7
Counter and rental clerks,69,White,82.2
Counter and rental clerks,69,Black/African American,10.8
Counter and rental clerks,69,Asian,1.5
Counter and rental clerks,69,Hispanic/Latino,13.9
Parts salespersons,119,Women,16
Parts salespersons,119,White,89.2
Parts salespersons,119,Black/African American,8.2
Parts salespersons,119,Asian,1.1
Parts salespersons,119,Hispanic/Latino,11.6
Retail salespersons,2751,Women,47.5
Retail salespersons,2751,White,78.7
Retail salespersons,2751,Black/African American,12.2
Retail salespersons,2751,Asian,4.5
Retail salespersons,2751,Hispanic/Latino,18.5
Advertising sales agents,141,Women,53.8
Advertising sales agents,141,White,89.6
Advertising sales agents,141,Black/African American,5.5
Advertising sales agents,141,Asian,2.4
Advertising sales agents,141,Hispanic/Latino,16.4
Insurance sales agents,641,Women,50.1
Insurance sales agents,641,White,79.9
Insurance sales agents,641,Black/African American,10.8
Insurance sales agents,641,Asian,5.7
Insurance sales agents,641,Hispanic/Latino,14
"Securities, commodities, and financial services sales agents",242,Women,22.8
"Securities, commodities, and financial services sales agents",242,White,85.2
"Securities, commodities, and financial services sales agents",242,Black/African American,4.3
"Securities, commodities, and financial services sales agents",242,Asian,9
"Securities, commodities, and financial services sales agents",242,Hispanic/Latino,8.2
Travel agents,51,Women,79.5
Travel agents,51,White,85
Travel agents,51,Black/African American,7.3
Travel agents,51,Asian,7.3
Travel agents,51,Hispanic/Latino,5.4
"Sales representatives of services, except advertising, insurance, financial services, and travel",563,Women,34
"Sales representatives of services, except advertising, insurance, financial services, and travel",563,White,85.4
"Sales representatives of services, except advertising, insurance, financial services, and travel",563,Black/African American,7.7
"Sales representatives of services, except advertising, insurance, financial services, and travel",563,Asian,4.9
"Sales representatives of services, except advertising, insurance, financial services, and travel",563,Hispanic/Latino,12.1
"Sales representatives, wholesale and manufacturing",1217,Women,30.5
"Sales representatives, wholesale and manufacturing",1217,White,88.8
"Sales representatives, wholesale and manufacturing",1217,Black/African American,4.5
"Sales representatives, wholesale and manufacturing",1217,Asian,4.2
"Sales representatives, wholesale and manufacturing",1217,Hispanic/Latino,13.6
"Models, demonstrators, and product promoters",28,Women,NA
"Models, demonstrators, and product promoters",28,White,NA
"Models, demonstrators, and product promoters",28,Black/African American,NA
"Models, demonstrators, and product promoters",28,Asian,NA
"Models, demonstrators, and product promoters",28,Hispanic/Latino,NA
Real estate brokers and sales agents,1037,Women,57.5
Real estate brokers and sales agents,1037,White,84.9
Real estate brokers and sales agents,1037,Black/African American,7.9
Real estate brokers and sales agents,1037,Asian,5
Real estate brokers and sales agents,1037,Hispanic/Latino,14.5
Sales engineers,35,Women,NA
Sales engineers,35,White,NA
Sales engineers,35,Black/African American,NA
Sales engineers,35,Asian,NA
Sales engineers,35,Hispanic/Latino,NA
Telemarketers,48,Women,NA
Telemarketers,48,White,NA
Telemarketers,48,Black/African American,NA
Telemarketers,48,Asian,NA
Telemarketers,48,Hispanic/Latino,NA
"Door-to-door sales workers, news and street vendors, and related workers",114,Women,62.4
"Door-to-door sales workers, news and street vendors, and related workers",114,White,81.9
"Door-to-door sales workers, news and street vendors, and related workers",114,Black/African American,13.3
"Door-to-door sales workers, news and street vendors, and related workers",114,Asian,1.5
"Door-to-door sales workers, news and street vendors, and related workers",114,Hispanic/Latino,22.4
"Sales and related workers, all other",317,Women,52.2
"Sales and related workers, all other",317,White,79.6
"Sales and related workers, all other",317,Black/African American,12.6
"Sales and related workers, all other",317,Asian,4.4
"Sales and related workers, all other",317,Hispanic/Latino,13.8
Office and administrative support occupations,15558,Women,72.7
Office and administrative support occupations,15558,White,77.4
Office and administrative support occupations,15558,Black/African American,14.3
Office and administrative support occupations,15558,Asian,4.7
Office and administrative support occupations,15558,Hispanic/Latino,17.4
First-line supervisors of office and administrative support workers,1273,Women,69.2
First-line supervisors of office and administrative support workers,1273,White,80.6
First-line supervisors of office and administrative support workers,1273,Black/African American,12.8
First-line supervisors of office and administrative support workers,1273,Asian,3.9
First-line supervisors of office and administrative support workers,1273,Hispanic/Latino,13.6
"Switchboard operators, including answering service",12,Women,NA
"Switchboard operators, including answering service",12,White,NA
"Switchboard operators, including answering service",12,Black/African American,NA
"Switchboard operators, including answering service",12,Asian,NA
"Switchboard operators, including answering service",12,Hispanic/Latino,NA
Telephone operators,23,Women,NA
Telephone operators,23,White,NA
Telephone operators,23,Black/African American,NA
Telephone operators,23,Asian,NA
Telephone operators,23,Hispanic/Latino,NA
"Communications equipment operators, all other",8,Women,NA
"Communications equipment operators, all other",8,White,NA
"Communications equipment operators, all other",8,Black/African American,NA
"Communications equipment operators, all other",8,Asian,NA
"Communications equipment operators, all other",8,Hispanic/Latino,NA
Bill and account collectors,98,Women,66
Bill and account collectors,98,White,72.1
Bill and account collectors,98,Black/African American,23.9
Bill and account collectors,98,Asian,2.1
Bill and account collectors,98,Hispanic/Latino,15.8
Billing and posting clerks,434,Women,89.1
Billing and posting clerks,434,White,74.7
Billing and posting clerks,434,Black/African American,15.5
Billing and posting clerks,434,Asian,4.8
Billing and posting clerks,434,Hispanic/Latino,15.3
"Bookkeeping, accounting, and auditing clerks",1179,Women,87.3
"Bookkeeping, accounting, and auditing clerks",1179,White,86.5
"Bookkeeping, accounting, and auditing clerks",1179,Black/African American,7.7
"Bookkeeping, accounting, and auditing clerks",1179,Asian,4
"Bookkeeping, accounting, and auditing clerks",1179,Hispanic/Latino,14.2
Gambling cage workers,13,Women,NA
Gambling cage workers,13,White,NA
Gambling cage workers,13,Black/African American,NA
Gambling cage workers,13,Asian,NA
Gambling cage workers,13,Hispanic/Latino,NA
Payroll and timekeeping clerks,146,Women,86.9
Payroll and timekeeping clerks,146,White,81.6
Payroll and timekeeping clerks,146,Black/African American,10.2
Payroll and timekeeping clerks,146,Asian,3.4
Payroll and timekeeping clerks,146,Hispanic/Latino,12.4
Procurement clerks,34,Women,NA
Procurement clerks,34,White,NA
Procurement clerks,34,Black/African American,NA
Procurement clerks,34,Asian,NA
Procurement clerks,34,Hispanic/Latino,NA
Tellers,279,Women,80.4
Tellers,279,White,82.5
Tellers,279,Black/African American,12.2
Tellers,279,Asian,3.7
Tellers,279,Hispanic/Latino,17.7
"Financial clerks, all other",103,Women,66.1
"Financial clerks, all other",103,White,80.8
"Financial clerks, all other",103,Black/African American,8.2
"Financial clerks, all other",103,Asian,7.3
"Financial clerks, all other",103,Hispanic/Latino,13.1
Brokerage clerks,6,Women,NA
Brokerage clerks,6,White,NA
Brokerage clerks,6,Black/African American,NA
Brokerage clerks,6,Asian,NA
Brokerage clerks,6,Hispanic/Latino,NA
Correspondence clerks,4,Women,NA
Correspondence clerks,4,White,NA
Correspondence clerks,4,Black/African American,NA
Correspondence clerks,4,Asian,NA
Correspondence clerks,4,Hispanic/Latino,NA
"Court, municipal, and license clerks",76,Women,85.1
"Court, municipal, and license clerks",76,White,69.5
"Court, municipal, and license clerks",76,Black/African American,23.1
"Court, municipal, and license clerks",76,Asian,2.7
"Court, municipal, and license clerks",76,Hispanic/Latino,12.1
"Credit authorizers, checkers, and clerks",55,Women,64.9
"Credit authorizers, checkers, and clerks",55,White,80
"Credit authorizers, checkers, and clerks",55,Black/African American,7.8
"Credit authorizers, checkers, and clerks",55,Asian,7.8
"Credit authorizers, checkers, and clerks",55,Hispanic/Latino,17.1
Customer service representatives,2404,Women,63.8
Customer service representatives,2404,White,73.1
Customer service representatives,2404,Black/African American,17.7
Customer service representatives,2404,Asian,4.9
Customer service representatives,2404,Hispanic/Latino,19.6
"Eligibility interviewers, government programs",82,Women,81.8
"Eligibility interviewers, government programs",82,White,61.5
"Eligibility interviewers, government programs",82,Black/African American,20.7
"Eligibility interviewers, government programs",82,Asian,11.4
"Eligibility interviewers, government programs",82,Hispanic/Latino,26.8
File clerks,161,Women,77.6
File clerks,161,White,83
File clerks,161,Black/African American,8.8
File clerks,161,Asian,5.6
File clerks,161,Hispanic/Latino,16
"Hotel, motel, and resort desk clerks",91,Women,82.6
"Hotel, motel, and resort desk clerks",91,White,69.1
"Hotel, motel, and resort desk clerks",91,Black/African American,21.9
"Hotel, motel, and resort desk clerks",91,Asian,3
"Hotel, motel, and resort desk clerks",91,Hispanic/Latino,27.7
"Interviewers, except eligibility and loan",208,Women,78.3
"Interviewers, except eligibility and loan",208,White,72.1
"Interviewers, except eligibility and loan",208,Black/African American,20.5
"Interviewers, except eligibility and loan",208,Asian,3.4
"Interviewers, except eligibility and loan",208,Hispanic/Latino,18.1
"Library assistants, clerical",65,Women,86
"Library assistants, clerical",65,White,82.8
"Library assistants, clerical",65,Black/African American,10.3
"Library assistants, clerical",65,Asian,5.7
"Library assistants, clerical",65,Hispanic/Latino,9
Loan interviewers and clerks,151,Women,76.1
Loan interviewers and clerks,151,White,71.8
Loan interviewers and clerks,151,Black/African American,19.4
Loan interviewers and clerks,151,Asian,6.1
Loan interviewers and clerks,151,Hispanic/Latino,18
New accounts clerks,24,Women,NA
New accounts clerks,24,White,NA
New accounts clerks,24,Black/African American,NA
New accounts clerks,24,Asian,NA
New accounts clerks,24,Hispanic/Latino,NA
Order clerks,113,Women,54.5
Order clerks,113,White,76.4
Order clerks,113,Black/African American,9.5
Order clerks,113,Asian,6.1
Order clerks,113,Hispanic/Latino,19.6
"Human resources assistants, except payroll and timekeeping",44,Women,NA
"Human resources assistants, except payroll and timekeeping",44,White,NA
"Human resources assistants, except payroll and timekeeping",44,Black/African American,NA
"Human resources assistants, except payroll and timekeeping",44,Asian,NA
"Human resources assistants, except payroll and timekeeping",44,Hispanic/Latino,NA
Receptionists and information clerks,1147,Women,88.3
Receptionists and information clerks,1147,White,78.8
Receptionists and information clerks,1147,Black/African American,12.6
Receptionists and information clerks,1147,Asian,3.6
Receptionists and information clerks,1147,Hispanic/Latino,22.2
Reservation and transportation ticket agents and travel clerks,108,Women,52.5
Reservation and transportation ticket agents and travel clerks,108,White,59.1
Reservation and transportation ticket agents and travel clerks,108,Black/African American,26.1
Reservation and transportation ticket agents and travel clerks,108,Asian,7.7
Reservation and transportation ticket agents and travel clerks,108,Hispanic/Latino,17.8
"Information and record clerks, all other",113,Women,74.3
"Information and record clerks, all other",113,White,78.7
"Information and record clerks, all other",113,Black/African American,16.4
"Information and record clerks, all other",113,Asian,1.7
"Information and record clerks, all other",113,Hispanic/Latino,26.3
Cargo and freight agents,24,Women,NA
Cargo and freight agents,24,White,NA
Cargo and freight agents,24,Black/African American,NA
Cargo and freight agents,24,Asian,NA
Cargo and freight agents,24,Hispanic/Latino,NA
Couriers and messengers,578,Women,22.6
